BMID_Experiment,X,Y,Z
,-12,-8,8
,-2,17,57
,-23,-91,2
,-26,-56,-8
,-27,-2,71
,-35,-73,9
,-39,4,38
,-41,-13,-30
,-42,24,26
,1,32,45
,13,-69,36
,18,-100,10
,25,56,9
,26,5,16
,28,-55,13
,31,28,3
,36,-51,46
,37,42,20
,38,-55,34
,4,34,58
,4,46,15
,40,-63,10
,40,10,38
,43,-47,-11
,44,-59,53
,47,34,27
,6,34,27
,6,51,51
,6,6,11
14090206_1,-33,14,30
,41,30,24
,42,-39,49
,7,-63,57
14100225_1,-10,-70,-24
,-38,-4,34
,-4,-28,32
,14,16,-8
,30,30,-16
,36,4,52
,38,-40,50
,42,4,-24
,46,-54,-16
,58,-32,38
,8,-72,46
14110243_8,-22,82,41
,-34,57,33
,-42,-36,30
,-43,2,28
,11,83,41
,3,-4,57
,36,64,42
,8,21,38
14120252_1,-16,-72,-40
,-28,-44,-16
,-30,-92,-8
,-36,-84,34
,-36,-88,18
,-38,2,46
,-40,-2,34
,-42,-58,-8
,-44,12,24
,-58,-46,14
,-60,-58,10
,14,-74,-38
,16,8,66
,32,-58,48
,32,-70,32
,32,-90,-4
,38,-64,-10
,4,-26,-4
,40,-82,18
,40,12,32
,42,8,44
,44,-78,28
,50,-62,-6
,50,18,20
,56,-20,24
,58,-18,50
,62,-42,18
15060051_2,-32,-3,38
,-36,-3,43
,-36,-4,31
,-36,-80,8
,-39,-81,1
,-44,-59,-6
,-48,-63,0
,-48,14,24
,-48,19,-1
,-50,7,18
,39,-80,0
,39,-80,7
15060052_1,-16,-10,-12
,-18,8,0
,-2,-18,12
,-20,2,-16
,-24,-50,48
,-28,-50,56
,-32,30,0
,-38,8,28
,-40,-62,-12
,-40,30,12
,-42,-68,-4
,-44,26,24
,-44,6,36
,-50,10,0
,-52,10,16
,-54,-40,8
,-6,-10,12
,34,-64,56
,48,34,20
15060052_4,-14,-8,16
,-22,-54,44
,-28,-42,48
,-32,32,4
,-38,-62,-12
,-38,28,12
,-4,18,48
,-40,4,36
,-42,14,28
,-44,30,4
,-48,10,20
,-48,6,12
,-50,8,-4
,-52,12,16
,-56,-22,40
,-6,-12,16
,30,-60,56
,40,28,4
,48,14,32
15070101_7,-12,3,12
,-27,-60,42
,-36,24,0
,-42,39,12
,-42,6,30
,-6,24,45
,-6,36,24
,12,15,3
,33,24,0
,45,36,21
15110173_7,-36,-42,36
,-39,6,27
15110173_8,-39,3,36
,-48,-6,6
,-51,-45,24
,39,-3,24
,51,-21,-3
,51,-39,9
15110174_1,-2,-34,28
,-24,-74,34
,-26,-62,46
,-28,-56,42
,-30,-22,-16
,-30,-30,-22
,-44,6,34
,-46,32,0
,-50,-6,50
,-6,18,40
,-64,-22,2
,-64,-32,8
,0,-76,8
15120179_2,-12,9,0
,-15,3,0
,-27,-66,45
,-3,15,54
,-33,24,-6
,-39,-60,48
,-42,9,30
,-54,-51,-15
,-6,24,45
,-9,-78,-34
,15,3,0
,15,9,6
,30,9,57
,33,26,-6
,35,-63,-39
,39,-66,51
,42,-45,42
,6,18,54
,9,27,45
16030035_3,-16,22,4
,-3,13,55
,-38,2,40
,-45,9,-1
,-54,28,8
,-6,25,37
,-61,6,10
,42,6,2
,58,-36,28
16030047_9,-35,21,-2
,-37,7,27
,-51,13,17
,33,33,-8
,8,32,41
16030052_5,-14,14,36
,-34,-4,34
,-6,-52,60
,0,12,56
,40,-78,34
16030057_1,-18,-9,66
,-18,11,5
,-2,-57,-13
,-26,-52,-27
,-42,-54,-12
,-45,6,27
,-48,-1,17
,-48,-20,12
,-52,-33,51
,-62,-46,7
,17,9,8
,37,22,10
,38,-23,56
,41,-28,70
,45,-44,68
,5,17,39
,51,-58,48
,55,1,30
,64,-17,7
,64,-30,1
,67,-50,-7
,68,-32,11
,8,-3,65
16030057_2,-18,-45,-23
,-2,-67,-22
,-21,-58,-19
,-25,-89,-13
,-32,9,16
,-35,-53,42
,-38,-37,44
,-41,-30,55
,-45,1,3
,-45,6,25
,-48,-49,49
,-55,-48,24
,-59,3,20
,11,-68,-30
,11,18,46
,24,-86,-14
,32,-74,53
,44,-55,51
,44,-70,-19
,48,-16,59
,48,-64,57
,5,0,58
,50,18,1
,50,30,34
,55,-30,1
,58,-39,54
,58,5,39
,64,-41,19
16030057_3,-21,-3,69
,-26,-55,-23
,-29,61,-9
,-32,-5,-3
,-32,21,8
,-38,-57,-9
,-41,-1,48
,-44,-52,60
,-45,6,27
,-47,-39,59
,-48,32,22
,-5,3,19
,-62,-17,15
,1,-30,-36
,11,-71,-26
,11,9,54
,28,62,-3
,28,9,18
,37,-52,-35
,38,52,29
,38,7,71
,4,-57,-16
,41,-19,63
,41,-28,70
,41,21,0
,44,53,-2
,47,44,15
,5,-3,62
,64,-17,7
,68,-32,11
16030057_4,-18,-45,-28
,-18,-83,-17
,-2,29,63
,-21,-58,-19
,-25,-89,-13
,-29,22,15
,-32,55,-8
,-35,-64,-12
,-38,-41,38
,-41,-1,59
,-42,37,7
,-44,-43,48
,-45,6,27
,-48,13,30
,-48,15,15
,0,-3,69
,1,-55,-34
,11,-74,-29
,20,9,18
,24,-86,-14
,28,59,-6
,38,-23,56
,44,-64,-23
,44,33,27
,44,56,-6
,54,18,-3
,58,35,16
,8,10,67
,8,9,54
16030059_5,-1,6,65
,-25,-75,-53
,-29,-69,-58
,-31,-67,-25
,-41,-36,13
,-41,2,34
,-48,-69,-25
,-48,14,24
,-50,1,54
,-56,-20,7
,-57,12,-2
,-63,-20,5
,12,-79,-20
,27,-79,-54
,37,-70,-25
,53,-27,9
,59,4,48
60100156_1,-21,-65,53
,-22,2,51
,-38,7,23
,-40,-28,51
,-41,-39,35
,-43,48,-20
,-47,-29,18
,-52,19,20
,-52,9,30
,-54,-21,41
,-6,7,66
,14,-49,71
,21,-12,67
,26,-39,-31
,29,0,52
,39,-37,51
,41,-14,61
,43,-79,23
,56,5,23
,60,-18,28
60100159_15,-20,-26,-2
,-28,-44,45
,-29,25,-1
,-37,-82,-1
,-41,5,27
,-50,53,-12
,-7,14,75
,14,-13,6
,31,9,62
,32,-61,45
,35,-36,-24
,40,21,-2
,52,27,20
,53,7,39
,6,20,43
