BMID_Experiment,X,Y,Z
5040024_4,-31,21,-5
,-39,0,39
,-51,-47,-4
,13,8,33
,58,-30,2
5040052_2,-19,19,-5
,-38,-4,35
,49,-71,-14
5040055_2,-30,-18,-6
,-42,9,27
,-6,24,48
,-9,-6,3
,0,-57,-45
5040060_3,-26,-50,43
,-35,-4,36
,-58,9,25
,-9,23,41
,23,-51,43
,23,-87,-6
,24,-61,56
,32,6,38
,42,24,6
,44,-61,-22
,45,-38,48
,47,-60,1
,55,-44,3
,63,23,13
5070082_1,-12,-102,-9
,-12,21,63
,-15,-45,-24
,-18,-102,3
,-21,-30,-3
,-21,-57,-27
,-21,-75,-30
,-21,3,48
,-24,-39,-27
,-24,-96,-6
,-27,-18,-15
,-27,-63,48
,-27,-78,39
,-30,-99,9
,-36,-27,-24
,-36,-75,24
,-36,-84,-15
,-36,-93,-15
,-36,21,-3
,-39,-48,-33
,-39,33,-18
,-42,-72,-15
,-42,24,-15
,-42,27,21
,-42,3,48
,-42,6,24
,-45,-60,-33
,-48,15,15
,-48,3,36
,-48,33,0
,-51,15,0
,-51,24,27
,-9,-18,15
,-9,15,57
,-9,18,45
,0,-27,12
,12,-6,0
,15,-21,-3
,18,-105,0
,21,-27,-3
,27,-84,-30
,27,-93,-3
,33,-12,66
,33,-57,-39
,36,-21,57
,36,-42,-30
,36,-81,-21
,39,-30,66
,39,21,-6
,42,-27,36
,42,-63,-33
,42,-87,-12
,42,21,-21
,45,-75,-18
,48,15,-3
,51,-24,57
,57,-18,39
,6,12,63
,9,21,39
,9,30,30
5070090_1,-12,-9,15
,-21,-60,48
,-27,-3,45
,-30,-66,-39
,-39,-57,-39
,-42,-48,45
,-42,3,33
,-45,-54,-12
,-48,-63,-6
,-54,-57,-6
,-54,15,-6
,-54,15,27
,-60,-42,6
,-9,-3,9
,0,12,45
,15,-3,15
,24,-60,60
,3,-51,-24
,36,-66,-36
,36,-75,-36
,36,6,48
,42,21,-6
,45,-45,51
,48,-57,-33
,51,3,42
,54,12,30
5070093_2,-12,-24,16
,-18,-54,-8
,-26,-66,34
,-26,-78,-12
,-30,56,2
,-32,-48,38
,-36,16,6
,-4,14,48
,-40,-50,-12
,-42,6,32
,2,-54,36
,2,-70,2
,24,-64,6
,34,-32,-24
,34,-50,36
,34,-78,-8
,36,28,-6
,40,14,26
,50,-50,-16
,54,-46,26
,56,-38,-4
,6,20,28
,8,-16,-4
5070099_1,-10,-10,-4
,-14,-10,20
,-16,8,4
,-2,14,40
,-2,6,48
,-22,-34,12
,-24,-10,44
,-30,-28,0
,-34,24,-4
,-36,22,0
,-36,6,24
,-38,-26,-16
,-38,-60,-16
,-40,-62,-20
,-42,-32,4
,-44,20,12
,-48,-44,9
,-52,-4,-4
,-58,-22,4
,-6,-34,-4
,-6,-80,-20
,0,12,44
,0,26,-8
,10,-10,8
,10,4,40
,10,6,8
,12,2,4
,22,-36,12
,30,-36,0
,34,22,4
,34,24,-4
,42,20,8
,42,22,24
,44,-32,12
,50,-44,8
,54,-28,4
,54,-4,-4
5070099_4,-10,14,48
,-22,20,-12
,-30,-6,-24
,-34,16,4
,-34,24,-4
,-38,2,28
,-4,30,40
,-40,-38,-24
,-40,20,12
,-42,-62,-16
,-44,-32,-12
,-44,-34,4
,-44,-64,-16
,-46,36,8
,-48,-14,12
,-50,-44,4
