Name parcel,Strength of involvement across LCs 1-3,"MNI coordinates(x,y,z)",,
17Networks_LH_DorsAttnA_SPL_4,0.00,-28,-58,50
17Networks_LH_DorsAttnA_SPL_5,0.00,-36,-52,56
17Networks_LH_DorsAttnA_SPL_6,0.00,-14,-70,58
17Networks_LH_DorsAttnA_SPL_7,0.00,-28,-62,62
17Networks_LH_SalVentAttnA_ParOper_1,0.00,-54,-32,22
17Networks_LH_SalVentAttnA_ParOper_2,0.00,-58,-44,28
17Networks_LH_SalVentAttnA_ParOper_3,0.00,-62,-36,34
17Networks_LH_SalVentAttnA_Ins_1,0.00,-38,2,-4
17Networks_LH_SalVentAttnA_Ins_2,0.00,-40,-14,-2
17Networks_LH_SalVentAttnA_Ins_3,0.00,-32,18,8
17Networks_LH_SalVentAttnA_Ins_4,0.00,-36,4,10
17Networks_LH_SalVentAttnA_FrOper_1,0.00,-50,2,4
17Networks_LH_SalVentAttnA_FrOper_2,0.00,-52,8,14
17Networks_LH_SalVentAttnA_ParMed_1,0.00,-12,-28,42
17Networks_LH_SalVentAttnA_ParMed_2,0.00,-12,-42,48
17Networks_LH_SalVentAttnA_ParMed_3,0.00,-6,-48,56
17Networks_LH_SalVentAttnA_FrMed_1,0.00,-6,0,40
17Networks_LH_SalVentAttnA_FrMed_2,0.00,-6,10,48
17Networks_LH_SalVentAttnA_FrMed_3,0.00,-8,-2,70
17Networks_LH_SalVentAttnB_PFCl_1,0.00,-38,50,10
17Networks_LH_SalVentAttnB_PFCl_2,0.00,-28,44,30
17Networks_LH_SalVentAttnB_PFCl_3,0.00,-36,32,38
17Networks_LH_SalVentAttnB_Ins_1,0.00,-34,16,-8
17Networks_LH_SalVentAttnB_Ins_2,0.00,-32,24,0
17Networks_LH_SalVentAttnB_Ins_3,0.00,-44,12,2
17Networks_LH_SalVentAttnB_OFC_1,0.00,-26,50,-14
17Networks_LH_SalVentAttnB_PFCmp_1,0.00,-6,22,32
17Networks_LH_LimbicB_OFC_1,0.00,-12,24,-20
17Networks_LH_LimbicB_OFC_2,0.00,-24,22,-20
17Networks_LH_LimbicB_OFC_3,0.00,-10,48,-22
17Networks_LH_LimbicB_OFC_4,0.00,-4,24,-20
17Networks_LH_LimbicB_OFC_5,0.00,-16,64,-8
17Networks_LH_LimbicA_TempPole_1,0.00,-38,-6,-42
17Networks_LH_LimbicA_TempPole_2,0.00,-24,6,-40
17Networks_LH_LimbicA_TempPole_3,0.00,-26,-10,-32
17Networks_LH_LimbicA_TempPole_4,0.00,-54,-22,-30
17Networks_LH_LimbicA_TempPole_5,0.00,-40,-22,-26
17Networks_LH_LimbicA_TempPole_6,0.00,-32,12,-30
17Networks_LH_LimbicA_TempPole_7,0.00,-44,6,-16
17Networks_LH_ContA_Temp_1,0.00,-56,-62,0
17Networks_LH_ContA_IPS_1,0.00,-28,-74,42
17Networks_LH_ContA_IPS_2,0.00,-58,-42,46
17Networks_LH_ContA_IPS_3,0.00,-34,-62,48
17Networks_LH_ContA_IPS_4,0.00,-44,-42,46
17Networks_LH_ContA_IPS_5,0.00,-34,-46,40
17Networks_LH_ContA_PFCd_1,0.00,-22,6,64
17Networks_LH_ContA_PFClv_1,0.00,-48,36,10
17Networks_LH_ContA_PFClv_2,0.00,-42,38,22
17Networks_LH_ContA_PFCl_1,0.00,-50,6,26
17Networks_LH_ContA_PFCl_2,0.00,-44,20,26
