ROI Label,ROI Name,R,A,S
259,7networks_RH_SomMot_19,54,-10,38
260,7networks_RH_SomMot_2,4,-26,58
261,7networks_RH_SomMot_20,54,-6,28
262,7networks_RH_SomMot_21,64,-4,22
263,7networks_RH_SomMot_22,58,-6,12
264,7networks_RH_SomMot_3,18,-24,70
265,7networks_RH_SomMot_4,22,-12,68
266,7networks_RH_SomMot_5,12,-32,72
267,7networks_RH_SomMot_6,10,-40,64
268,7networks_RH_SomMot_7,8,-10,50
269,7networks_RH_SomMot_8,16,-40,76
270,7networks_RH_SomMot_9,24,-28,64
271,7networks_RH_SalVentAttn_IPL_3,54,-24,22
272,7networks_RH_SomMot_Ins_1,42,-16,18
273,7networks_RH_SomMot_Ins_2,36,-24,14
274,7networks_RH_SomMot_Ins_3,38,-8,10
275,7networks_RH_SomMot_Ins_4,40,-18,2
276,7networks_RH_SomMot_ST_1,54,-28,14
277,7networks_RH_SomMot_ST_2,64,-20,2
278,7networks_RH_SomMot_ST_3,54,-12,6
279,7networks_RH_SomMot_Temp,62,-36,12
280,7networks_RH_Vis_ExStrInf_1,18,-48,0
281,7networks_RH_Vis_ExStrInf_2,10,-66,-4
282,7networks_RH_Vis_ExStrInf_3,18,-40,-10
283,7networks_RH_Vis_ExStrInf_4,28,-50,-8
284,7networks_RH_Vis_ExStrSup_1,14,-74,30
285,7networks_RH_Vis_ExStrSup_2,8,-88,26
286,7networks_RH_Vis_ExStr_1,28,-84,30
287,7networks_RH_Vis_ExStr_10,36,-72,-16
288,7networks_RH_Vis_ExStr_11,34,-46,-20
289,7networks_RH_Vis_ExStr_2,18,-96,16
290,7networks_RH_Vis_ExStr_3,42,-80,14
291,7networks_RH_Vis_ExStr_4,34,-88,6
292,7networks_RH_Vis_ExStr_5,24,-96,-8
293,7networks_RH_Vis_ExStr_6,18,-84,-12
294,7networks_RH_Vis_ExStr_7,44,-80,-8
295,7networks_RH_Vis_ExStr_8,48,-68,4
296,7networks_RH_Vis_ExStr_9,24,-68,-10
297,7networks_RH_Vis_PHC,30,-32,-18
298,7networks_RH_Vis_Striate_1,18,-62,8
299,7networks_RH_Vis_Striate_2,8,-76,10
300,7networks_RH_Vis_Striate_3,8,-92,-2
