ROI Index,Label Name,R,A,S
348,17Networks_RH_SomMotA_12,30,-40,64
349,17Networks_RH_SomMotA_13,30,-24,62
350,17Networks_RH_SomMotA_14,28,-12,66
351,17Networks_RH_SomMotA_15,10,-40,64
352,17Networks_RH_SomMotA_16,4,-32,62
353,17Networks_RH_SomMotA_17,26,-34,70
354,17Networks_RH_SomMotA_18,24,-28,68
355,17Networks_RH_SomMotA_19,20,-26,62
356,17Networks_RH_SomMotA_20,22,-22,70
357,17Networks_RH_SomMotA_21,18,-14,72
358,17Networks_RH_SomMotA_22,8,-16,72
359,17Networks_RH_SomMotA_23,22,-38,74
360,17Networks_RH_SomMotA_24,4,-32,72
361,17Networks_RH_SomMotA_25,10,-38,76
362,17Networks_RH_SomMotA_26,14,-26,72
363,17Networks_RH_SomMotA_27,14,-32,74
364,17Networks_RH_SomMotB_S2_1,54,4,-4
365,17Networks_RH_SomMotB_S2_2,56,-10,4
366,17Networks_RH_SomMotB_S2_3,40,-20,4
367,17Networks_RH_SomMotB_S2_4,38,-10,12
368,17Networks_RH_SomMotB_S2_5,46,-22,10
369,17Networks_RH_SomMotB_S2_6,34,-22,14
370,17Networks_RH_SomMotB_S2_7,62,-24,10
371,17Networks_RH_SomMotB_S2_8,42,-12,18
372,17Networks_RH_SomMotB_S2_9,42,-28,18
373,17Networks_RH_SomMotB_S2_10,50,-10,12
374,17Networks_RH_SomMotB_S2_11,60,0,10
375,17Networks_RH_SomMotB_S2_12,50,-20,18
376,17Networks_RH_SomMotB_S2_13,60,-12,14
377,17Networks_RH_SomMotB_S2_14,60,-4,24
378,17Networks_RH_SomMotB_S2_15,64,-12,28
379,17Networks_RH_SomMotB_S2_16,60,6,30
380,17Networks_RH_SomMotB_S2_17,54,-4,38
381,17Networks_RH_SomMotB_S2_18,52,-12,38
382,17Networks_RH_SomMotB_S2_19,40,-16,40
383,17Networks_RH_DorsAttnA_TempOcc_1,46,-36,-22
384,17Networks_RH_DorsAttnA_TempOcc_2,50,-52,-16
385,17Networks_RH_DorsAttnA_TempOcc_3,50,-66,-8
386,17Networks_RH_DorsAttnA_TempOcc_4,48,-66,4
387,17Networks_RH_DorsAttnA_TempOcc_5,52,-60,14
388,17Networks_RH_DorsAttnA_SPL_1,42,-82,20
389,17Networks_RH_DorsAttnA_SPL_2,36,-80,24
390,17Networks_RH_DorsAttnA_SPL_3,30,-66,34
391,17Networks_RH_DorsAttnA_SPL_4,28,-78,40
392,17Networks_RH_DorsAttnA_SPL_5,16,-78,52
393,17Networks_RH_DorsAttnA_SPL_6,28,-64,52
394,17Networks_RH_DorsAttnA_SPL_7,34,-56,52
395,17Networks_RH_DorsAttnA_SPL_8,20,-68,54
396,17Networks_RH_DorsAttnA_SPL_9,36,-46,54
397,17Networks_RH_DorsAttnA_SPL_10,12,-72,54
398,17Networks_RH_DorsAttnA_SPL_11,28,-56,60
399,17Networks_RH_DorsAttnA_SPL_12,8,-64,58
400,17Networks_RH_DorsAttnA_SPL_13,22,-64,66
401,17Networks_RH_DorsAttnA_SPL_14,14,-60,66
402,17Networks_RH_DorsAttnB_TempOcc_1,60,-54,-2
403,17Networks_RH_DorsAttnB_PostC_1,62,-18,32
404,17Networks_RH_DorsAttnB_PostC_2,62,-24,44
405,17Networks_RH_DorsAttnB_PostC_3,58,-14,40
406,17Networks_RH_DorsAttnB_PostC_4,56,-22,42
407,17Networks_RH_DorsAttnB_PostC_5,46,-28,42
408,17Networks_RH_DorsAttnB_PostC_6,38,-40,46
409,17Networks_RH_DorsAttnB_PostC_7,36,-34,46
410,17Networks_RH_DorsAttnB_PostC_8,36,-40,58
411,17Networks_RH_DorsAttnB_PostC_9,36,-48,66
412,17Networks_RH_DorsAttnB_PostC_10,8,-50,64
413,17Networks_RH_DorsAttnB_PostC_11,24,-50,68
414,17Networks_RH_DorsAttnB_PostC_12,16,-46,76
415,17Networks_RH_DorsAttnB_FEF_1,40,-2,52
416,17Networks_RH_DorsAttnB_FEF_2,30,-8,54
417,17Networks_RH_DorsAttnB_FEF_3,26,0,60
418,17Networks_RH_DorsAttnB_FEF_4,20,-4,68
419,17Networks_RH_DorsAttnB_PrCv_1,52,8,30
420,17Networks_RH_SalVentAttnA_ParOper_1,64,-32,22
421,17Networks_RH_SalVentAttnA_ParOper_2,50,-30,26
422,17Networks_RH_SalVentAttnA_ParOper_3,60,-22,22
423,17Networks_RH_SalVentAttnA_ParOper_4,58,-26,34
424,17Networks_RH_SalVentAttnA_ParOper_5,64,-30,34
425,17Networks_RH_SalVentAttnA_PrC_1,50,4,42
426,17Networks_RH_SalVentAttnA_Ins_1,40,6,-16
427,17Networks_RH_SalVentAttnA_Ins_2,46,8,-14
428,17Networks_RH_SalVentAttnA_Ins_3,40,6,-4
429,17Networks_RH_SalVentAttnA_Ins_4,42,-10,-4
430,17Networks_RH_SalVentAttnA_Ins_5,38,2,4
431,17Networks_RH_SalVentAttnA_Ins_6,36,6,12
432,17Networks_RH_SalVentAttnA_Ins_7,44,14,4
433,17Networks_RH_SalVentAttnA_Ins_8,42,0,14
434,17Networks_RH_SalVentAttnA_Ins_9,50,4,4
435,17Networks_RH_SalVentAttnA_Ins_10,52,10,14
436,17Networks_RH_SalVentAttnA_Ins_11,58,8,18
437,17Networks_RH_SalVentAttnA_FrMed_1,6,12,36
438,17Networks_RH_SalVentAttnA_FrMed_2,4,-8,38
439,17Networks_RH_SalVentAttnA_FrMed_3,10,-28,40
440,17Networks_RH_SalVentAttnA_FrMed_4,8,0,44
441,17Networks_RH_SalVentAttnA_FrMed_5,10,-16,42
442,17Networks_RH_SalVentAttnA_FrMed_6,8,14,48
443,17Networks_RH_SalVentAttnA_FrMed_7,12,-38,44
444,17Networks_RH_SalVentAttnA_FrMed_8,12,-26,46
445,17Networks_RH_SalVentAttnA_FrMed_9,10,-44,52
446,17Networks_RH_SalVentAttnA_FrMed_10,6,0,54
447,17Networks_RH_SalVentAttnA_FrMed_11,10,-34,52
448,17Networks_RH_SalVentAttnA_FrMed_12,6,-2,66
449,17Networks_RH_SalVentAttnA_FrMed_13,16,6,70
450,17Networks_RH_SalVentAttnB_IPL_1,64,-40,30
451,17Networks_RH_SalVentAttnB_IPL_2,62,-36,44
452,17Networks_RH_SalVentAttnB_PFCl_1,32,48,20
453,17Networks_RH_SalVentAttnB_PFCl_2,24,54,26
454,17Networks_RH_SalVentAttnB_PFCl_3,34,44,30
455,17Networks_RH_SalVentAttnB_PFCv_1,34,20,-8
456,17Networks_RH_SalVentAttnB_PFCv_2,34,26,0
457,17Networks_RH_SalVentAttnB_PFCv_3,50,32,-2
458,17Networks_RH_SalVentAttnB_PFCv_4,38,24,8
459,17Networks_RH_SalVentAttnB_PFCv_5,50,40,4
460,17Networks_RH_SalVentAttnB_PFCv_6,40,50,6
461,17Networks_RH_SalVentAttnB_PFCv_7,54,14,6
